Unnamed: 0,Company,Valuation ($B),Date Joined,Country,City,Industry,Select Investors,Company_anomaly_scores,Valuation ($B)_anomaly_scores,Date Joined_anomaly_scores,Country_anomaly_scores,City_anomaly_scores,Industry_anomaly_scores,Select Investors_anomaly_scores
40,Talkdesk,$10,10/3/2018,United States,San Francisco,Internet software & services,"DJF, Salesforce Ventures, Storm Ventures",1,1,1,1,1,1,1
41,Notion Labs,$10,4/1/2020,United States,San Francisco,Internet software & services,"Index Ventures, Draft Ventures, Felicis Ventures",1,1,1,1,1,1,1
42,Thrasio,$10,7/15/2020,United States,Walpole,Other,"Upper90, RiverPark Ventures, Advent International",1,1,1,1,1,1,1
43,Digital Currency Group,$10,11/1/2021,United States,New York,Finttech,"Ribbit Capital, capitalG, Softbank Group",1,1,1,1,-1,1,1
44,OutSystems,$9.5,6/5/2018,United States,Boston,Internet software & services,"KKR, ES Ventures, North Bridge Growth Equity",1,1,1,1,1,1,1
45,ServiceTitan,$9.5,11/14/2018,United States,Glendale,Internet software & services,"Bessemer Venture Partners, ICONIQ Capital, Battery Ventures",1,1,1,1,1,1,1
46,HEYTEA,$9.28,7/1/2019,China,Shenzhen,Other,"Sequoia Capital China, Tencent Investment, BA Capital",1,1,1,1,1,1,1
47,N26,$9.23,1/10/2019,Germany,Berlin,Fintech,"Redalpine Venture Partners, Earlybird Venture Capital, Valar Ventures",1,1,1,1,1,1,1
48,Klaviyo,$9.2,11/17/2020,United States,Boston,Internet software & services,"Summit Partners, Accel, Astral Capital",1,1,1,1,1,1,1
49,Northvolt,$9.08,6/12/2019,Sweden,Stockholm,Other,"Vattenfall, Volkswagen Group, Goldman Sachs",1,1,1,1,1,1,1
